TSTNO,VIN,OCCLOC,PP_TTF_LAP,PP_force_LAP,PP_TTF_SHOULDER,PP_force_SHOULDER,LL_first,LL_second
790,JM1FB3313F0857190,02,0.0,0.0,0.0,0.0,0.0,0.0
791,JP3BA28K2FU400490,01,0.0,0.0,0.0,0.0,0.0,0.0
791,JP3BA28K2FU400490,02,0.0,0.0,0.0,0.0,0.0,0.0
792,1B3BX48D3FN105745,01,0.0,0.0,0.0,0.0,0.0,0.0
792,1B3BX48D3FN105745,02,0.0,0.0,0.0,0.0,0.0,0.0
793,1P3BJ46D0FC103742,01,0.0,0.0,0.0,0.0,0.0,0.0
793,1P3BJ46D0FC103742,02,0.0,0.0,0.0,0.0,0.0,0.0
794,1P3BP26C9FF139258,01,0.0,0.0,0.0,0.0,0.0,0.0
794,1P3BP26C9FF139258,02,0.0,0.0,0.0,0.0,0.0,0.0
797,WVWCA0164FW090627,01,0.0,0.0,0.0,0.0,0.0,0.0
797,WVWCA0164FW090627,02,0.0,0.0,0.0,0.0,0.0,0.0
798,JA3BB46L2FY701689,01,0.0,0.0,0.0,0.0,0.0,0.0
798,JA3BB46L2FY701689,02,0.0,0.0,0.0,0.0,0.0,0.0
799,1XMAW9739FK162256,01,0.0,0.0,0.0,0.0,0.0,0.0
799,1XMAW9739FK162256,02,0.0,0.0,0.0,0.0,0.0,0.0
800,1GCDM15N5FB103167,01,0.0,0.0,0.0,0.0,0.0,0.0
800,1GCDM15N5FB103167,02,0.0,0.0,0.0,0.0,0.0,0.0
801,1G8CT18B8F0112077,01,0.0,0.0,0.0,0.0,0.0,0.0
801,1G8CT18B8F0112077,02,0.0,0.0,0.0,0.0,0.0,0.0
802,J81RF77K8F8400352,01,0.0,0.0,0.0,0.0,0.0,0.0
802,J81RF77K8F8400352,02,0.0,0.0,0.0,0.0,0.0,0.0
807,YV1AX8851F3602938,01,0.0,0.0,0.0,0.0,5.95,0.0
807,YV1AX8851F3602938,02,0.0,0.0,0.0,0.0,0.0,0.0
808,YV1AX8846F1079757,01,0.0,0.0,0.0,0.0,0.0,0.0
808,YV1AX8846F1079757,02,0.0,0.0,0.0,0.0,0.0,0.0
809,JN1HU15S2FX005338,01,0.0,0.0,0.0,0.0,6.47,0.0
809,JN1HU15S2FX005338,02,0.0,0.0,0.0,0.0,0.0,0.0
813,WAUFB0447FN027335,01,0.0,0.0,0.0,0.0,0.0,0.0
813,WAUFB0447FN027335,02,0.0,0.0,0.0,0.0,5.47,0.0
814,JT2MX73EXF0014860,01,0.0,0.0,0.0,0.0,0.0,0.0
814,JT2MX73EXF0014860,02,0.0,0.0,0.0,0.0,0.0,0.0
817,WV2YB0257FH022112,01,0.0,0.0,0.0,0.0,0.0,0.0
817,WV2YB0257FH022112,02,0.0,0.0,0.0,0.0,0.0,0.0
818,2FABP22X6FB159953,01,0.0,0.0,0.0,0.0,0.0,0.0
818,2FABP22X6FB159953,02,0.0,0.0,0.0,0.0,0.0,0.0
821,WF1BP80W0FM618615,01,0.0,0.0,0.0,0.0,0.0,0.0
821,WF1BP80W0FM618615,02,0.0,0.0,0.0,0.0,0.0,0.0
823,JT2AW15C4F0013878,01,0.0,0.0,0.0,0.0,0.0,0.0
823,JT2AW15C4F0013878,02,0.0,0.0,0.0,0.0,0.0,0.0
826,JT4RN61D4F5072425,01,0.0,0.0,0.0,0.0,0.0,0.0
826,JT4RN61D4F5072425,02,0.0,0.0,0.0,0.0,0.0,0.0
827,JM2UF1110G0532982,01,0.0,0.0,0.0,0.0,0.0,0.0
827,JM2UF1110G0532982,02,0.0,0.0,0.0,0.0,0.0,0.0
828,JABAT69B4F0801237,01,0.0,0.0,0.0,0.0,0.0,0.0
828,JABAT69B4F0801237,02,0.0,0.0,0.0,0.0,0.0,0.0
839,WBAAK7405F8771448,01,0.0,0.0,0.0,0.0,0.0,0.0
839,WBAAK7405F8771448,02,0.0,0.0,0.0,0.0,0.0,0.0
840,JAACH15A4F5406539,01,11.3,1.48,11.3,0.92,0.0,0.0
840,JAACH15A4F5406539,02,0.0,0.0,0.0,0.0,0.0,0.0
841,JG1MR08M0FK720029,01,0.0,0.0,0.0,0.0,0.0,0.0
841,JG1MR08M0FK720029,02,0.0,0.0,0.0,0.0,0.0,0.0
842,1FABP19X2FK216929,01,0.0,0.0,0.0,0.0,0.0,0.0
842,1FABP19X2FK216929,02,0.0,0.0,0.0,0.0,0.0,0.0
843,1FMEE11F9FHA40423,01,5.9,1.09,0.0,0.0,0.0,0.0
843,1FMEE11F9FHA40423,02,0.0,0.0,0.0,0.0,0.0,0.0
889,1G4AH27X8GT416944,01,0.0,0.0,0.0,0.0,0.0,0.0
889,1G4AH27X8GT416944,02,0.0,0.0,0.0,0.0,0.0,0.0
890,1G4AH19R9GD400660,01,0.0,0.0,0.0,0.0,0.0,0.0
890,1G4AH19R9GD400660,02,0.0,0.0,0.0,0.0,0.0,0.0
894,JM1BF232XG0110581,01,0.0,0.0,0.0,0.0,0.0,0.0
894,JM1BF232XG0110581,02,0.0,0.0,0.0,0.0,0.0,0.0
896,VX1BA1214GK300187,01,0.0,0.0,0.0,0.0,0.0,0.0
896,VX1BA1214GK300187,02,0.0,0.0,0.0,0.0,0.0,0.0
897,1HGBA5423GA024216,01,0.0,0.0,0.0,0.0,0.0,0.0
897,1HGBA5423GA024216,02,0.0,0.0,0.0,0.0,6.67,0.0
901,JP3BG39D7GZ011076,01,0.0,0.0,0.0,0.0,0.0,0.0
901,JP3BG39D7GZ011076,02,0.0,0.0,0.0,0.0,0.0,0.0
902,JABRT6973G4113383,01,0.0,0.0,0.0,0.0,0.0,0.0
902,JABRT6973G4113383,02,0.0,0.0,0.0,0.0,0.0,0.0
904,1JTHS661XGT129368,01,0.0,0.0,0.0,0.0,0.0,0.0
904,1JTHS661XGT129368,02,0.0,0.0,0.0,0.0,0.0,0.0
905,1G4HP3737GH405277,01,0.0,0.0,0.0,0.0,0.0,0.0
905,1G4HP3737GH405277,02,0.0,0.0,0.0,0.0,0.0,0.0
906,1G3HN6936GW301559,01,0.0,0.0,0.0,0.0,0.0,0.0
906,1G3HN6936GW301559,02,0.0,0.0,0.0,0.0,0.0,0.0
921,WVWCA0537GK002243,01,0.0,0.0,0.0,0.0,0.0,0.0
921,WVWCA0537GK002243,02,0.0,0.0,0.0,0.0,0.0,0.0
937,1Y1SK6846GZ149284,01,0.0,0.0,0.0,0.0,0.0,0.0
937,1Y1SK6846GZ149284,02,0.0,0.0,0.0,0.0,0.0,0.0
938,JT2ST63C6G7031448,01,0.0,0.0,0.0,0.0,0.0,0.0
938,JT2ST63C6G7031448,02,0.0,0.0,0.0,0.0,0.0,0.0
